1	William	Mcwhorter	WilliamMcwhorter@gmail.com	14306175646		3/7/1993	3/21/2017	8/19/2018	1	5	2
2	Deborah	Vasquez	DeborahVasquez@gmail.com	19564391392		1/2/1984	1/1/2002	11/25/2015	2	3	1
3	Kate	Menter	KateMenter@gmail.com	18068895757		10/25/1987	1/1/2002	3/6/2015	3	4	1
4	Frances	Lacey	FrancesLacey@gmail.com	19402416157		11/8/1976	11/11/2015		4	1	2
5	Wendell	Doerr	WendellDoerr@gmail.com	19157858156		2/20/1984	2/8/2017	9/18/2019	5	4	2
6	Kevin	Ward	KevinWard@gmail.com	19569642730		7/15/1979	5/14/2011		6	3	1
7	Richard	Tatom	RichardTatom@gmail.com	15126312664		12/3/1994	9/17/2013	10/24/2014	7	4	1
8	Traci	Miller	TraciMiller@gmail.com	19403842885		12/11/1968	11/7/2021		8	1	1
9	Justin	Baker	JustinBaker@gmail.com	18324495929		5/15/1977	1/1/2002	10/1/2010	9	5	2
10	Juan	Bryant	JuanBryant@gmail.com	19796187048		3/8/1987	4/26/2014		10	1	1
11	Kevin	Wirth	KevinWirth@gmail.com	13253011367		6/24/1960	10/5/2016	2/24/2019	11	2	2
12	John	Bridges	JohnBridges@gmail.com	19032723952		1/22/1966	1/15/2005		12	1	2
13	Emma	Oneil	EmmaOneil@gmail.com	19155219828		1/20/1975	5/25/2017	8/30/2017	13	3	1
14	Lorene	Cheatham	LoreneCheatham@gmail.com	12540831213		4/3/1989	10/15/2016		14	1	2
15	Thomas	Lovelace	ThomasLovelace@gmail.com	12543237296		5/7/1971	7/30/2013	12/10/2015	15	5	2
16	Lesley	Nichols	LesleyNichols@gmail.com	12143958007		7/20/1972	1/8/2011		16	1	1
17	Annie	Bustad	AnnieBustad@gmail.com	16829551008		12/26/1985	3/8/2015	6/14/2017	17	3	2
18	Darryl	Levy	DarrylLevy@gmail.com	19363445660		7/11/1983	8/3/2015	3/23/2016	18	5	1
19	Sarah	Huffman	SarahHuffman@gmail.com	19151089783		5/5/1984	1/1/2002	9/28/2011	19	3	1
20	Ricky	Belser	RickyBelser@gmail.com	14303001821		11/2/1982	11/5/2021		20	5	1
