1	Steve	Price	StevePrice@gmail.com	0013252262053		1995-08-06	2010-01-01		2	1	1
2	Keli	Kamphoefner	KeliKamphoefner@gmail.com	0010816308131		1983-04-30	2011-03-08		4	2	2
3	Jerry	Collins	JerryCollins@gmail.com	0017181315220		1988-10-09	2011-03-02		3	3	1
4	Jimmie	Hosking	JimmieHosking@gmail.com	0013180024067		1973-09-02	2010-01-10		3	4	3
5	Luis	Oneal	LuisOneal@gmail.com	0014187516607		1977-08-14	2011-09-02		3	5	1
6	James	Johnson	JamesJohnson@gmail.com	0014727351156		1973-06-06	2012-10-04		3	6	2
7	Joann	Icardo	JoannIcardo@gmail.com	0011241784555		1978-01-11	2013-01-17		1	7	2
8	Jo	Leymeister	JoLeymeister@gmail.com	0013537068235		1981-12-08	2013-04-04		1	8	1
9	William	Weiner	WilliamWeiner@gmail.com	0017087318888		1993-01-01	2013-11-02		2	9	2
10	Ophelia	Williams	OpheliaWilliams@gmail.com	0018143820561		1993-01-23	2014-09-01		3	10	3
11	Ryan	Harris	RyanHarris@gmail.com	0012550241540		1999-03-09	2012-03-09		4	11	3
12	Jerri	Francis	JerriFrancis@gmail.com	0011084455370		1972-02-18	2014-09-15		1	12	1
13	Christopher	Wilson	ChristopherWilson@gmail.com	0018467675082		1987-04-15	2013-03-08		3	13	3
14	Stephanie	Emerson	StephanieEmerson@gmail.com	0018765164234		1984-01-19	2013-07-08		1	14	3
15	Stewart	Broach	StewartBroach@gmail.com	0012321075438		1962-12-03	2013-10-11		4	15	2
16	Eduardo	Sullivan	EduardoSullivan@gmail.com	0011130131122		1990-08-24	2010-05-13		4	16	1
17	Theresa	Corbin	TheresaCorbin@gmail.com	0010561520428		1985-02-08	2014-01-11		1	17	3
18	Luisa	Tate	LuisaTate@gmail.com	0013218873736		1962-12-08	2014-01-06		4	18	1
19	Roberta	Scheffler	RobertaScheffler@gmail.com	0015360008707		1977-08-03	2014-09-07		4	19	2
20	Amy	Roy	AmyRoy@gmail.com	0014217360140		1980-05-26	2012-02-25		3	20	3
21	Robert	White	RobertWhite@gmail.com	0014204175066		1984-07-21	2011-05-29		4	21	1
22	Anne	Babers	AnneBabers@gmail.com	0010826175036		1999-02-16	2010-09-04		3	22	1
23	Ellen	Torres	EllenTorres@gmail.com	0012672781823		1997-05-21	2010-04-07		2	23	2
24	Carolyn	Downey	CarolynDowney@gmail.com	0011836077126		1982-01-20	2012-01-01		4	24	1
25	Richard	Patterson	RichardPatterson@gmail.com	0018417434371		1974-01-01	2013-08-05		1	25	1
26	Theresa	Koonce	TheresaKoonce@gmail.com	0015072688757		1991-05-19	2012-09-25		1	26	3
27	David	Lackey	DavidLackey@gmail.com	0011481026782		1995-04-26	2010-08-24		1	27	1
28	Jacqueline	Williams	JacquelineWilliams@gmail.com	0012074763107		1998-09-20	2010-07-12		1	28	2
29	Christine	Santoro	ChristineSantoro@gmail.com	0017370515870		1990-04-09	2011-12-21		3	29	2
30	Gregory	Towery	GregoryTowery@gmail.com	0017383828883		1993-10-21	2010-06-09		1	30	1
31	Robert	Sawicki	RobertSawicki@gmail.com	0012584404733		1993-05-23	2010-01-30		3	31	2
32	Helena	Cloutman	HelenaCloutman@gmail.com	0011578828100		1996-09-08	2011-01-20		1	32	1
33	Rosa	Pate	RosaPate@gmail.com	0018462801640		1973-08-11	2011-07-15		4	33	2
34	Tyree	Mark	TyreeMark@gmail.com	0014500358380		1975-05-05	2011-11-06		1	34	2
35	Hazel	Mullins	HazelMullins@gmail.com	0012153552480		1975-05-27	2013-08-15		2	35	1
36	Albert	Mori	AlbertMori@gmail.com	0016260607846		1984-05-31	2013-03-28		3	36	1
37	Cory	Brumer	CoryBrumer@gmail.com	0013821254370		1965-08-25	2014-08-10		4	37	1
38	Brian	Parker	BrianParker@gmail.com	0017753068286		1997-07-11	2011-12-02		1	38	3
39	Mary	Campbell	MaryCampbell@gmail.com	0010142128102		1961-07-20	2012-06-24		1	39	1
40	Alyce	Beasley	AlyceBeasley@gmail.com	0010525575156		1967-05-14	2011-08-26		1	40	2
41	Virginia	Faurrieta	VirginiaFaurrieta@gmail.com	0013456772181		1994-10-10	2012-07-17		1	41	3
42	Cindy	Creagh	CindyCreagh@gmail.com	0016365330308		1972-03-12	2013-06-03		3	42	3
43	Nancy	Legere	NancyLegere@gmail.com	0012161560316		1961-03-26	2010-11-15		4	43	2
44	William	Franco	WilliamFranco@gmail.com	0012213130640		1962-06-10	2013-01-01		4	44	2
45	Daniel	Stephens	DanielStephens@gmail.com	0011746111116		1992-01-23	2011-02-09		4	45	2
46	Jackie	Boyd	JackieBoyd@gmail.com	0014360820812		1961-08-10	2010-12-06		4	46	2
47	Lola	Hart	LolaHart@gmail.com	0012624376177		1975-02-09	2011-07-20		4	47	2
48	Saul	Wilkins	SaulWilkins@gmail.com	0017054057740		1982-03-17	2010-01-03		1	48	3
49	Cheryl	Loughran	CherylLoughran@gmail.com	0012265380477		1964-11-08	2010-12-28		3	49	1
50	Fred	Carroll	FredCarroll@gmail.com	0015567734555		1973-03-17	2012-10-27		2	50	1
51	Elizabeth	Webster	ElizabethWebster@gmail.com	0014086003762		1967-05-04	2012-11-11		1	51	2
52	Scott	Mclean	ScottMclean@gmail.com	0014478411165		1983-04-24	2010-10-04		2	52	3
53	Charles	Fisch	CharlesFisch@gmail.com	0013830081646		1991-09-29	2012-11-09		4	53	3
54	Nancy	Morgan	NancyMorgan@gmail.com	0015625654075		1974-04-07	2010-12-03		1	54	2
55	Lisa	Carlton	LisaCarlton@gmail.com	0018410351868		1969-05-03	2014-02-20		1	55	2
56	Denise	Dean	DeniseDean@gmail.com	0015206352804		1966-12-25	2014-08-06		4	56	1
57	Todd	Miller	ToddMiller@gmail.com	0016814338335		1984-04-29	2010-10-11		2	57	3
58	Lawanda	Blevins	LawandaBlevins@gmail.com	0017022838712		1960-01-26	2013-08-24		3	58	1
59	Karen	Morales	KarenMorales@gmail.com	0013576678444		1979-04-04	2012-09-13		2	59	2
60	Angela	White	AngelaWhite@gmail.com	0014248378481		1962-09-21	2013-06-28		2	60	3
61	Wanda	Lopez	WandaLopez@gmail.com	0016865605145		1985-12-19	2013-05-08		4	61	1
62	Terry	Montgomery	TerryMontgomery@gmail.com	0014120252838		1975-02-11	2011-07-11		4	62	1
63	Idella	Johnson	IdellaJohnson@gmail.com	0014487162207		1995-03-21	2013-12-21		3	63	1
64	Dwight	Le	DwightLe@gmail.com	0014205420438		1977-11-06	2010-01-22		2	64	1
65	Travis	Montoya	TravisMontoya@gmail.com	0015368064704		1981-08-28	2010-11-08		4	65	1
66	Wilma	Bramlett	WilmaBramlett@gmail.com	0017286538860		1998-02-03	2013-10-18		3	66	1
67	Helen	Ramirez	HelenRamirez@gmail.com	0018321867683		1991-10-21	2010-05-25		1	67	1
68	Maryellen	Reid	MaryellenReid@gmail.com	0012705316778		1972-09-21	2011-11-17		4	68	2
69	Jeni	Settle	JeniSettle@gmail.com	0013876365041		1990-11-17	2010-05-24		3	69	3
70	Norine	Chamberlin	NorineChamberlin@gmail.com	0015662086788		1979-01-10	2011-07-14		3	70	1
71	Arlene	Brame	ArleneBrame@gmail.com	0017271708538		1998-08-15	2012-10-04		2	71	3
72	Cynthia	Buckhannon	CynthiaBuckhannon@gmail.com	0012342007287		1977-05-26	2011-10-07		2	72	1
73	Robert	Fantasia	RobertFantasia@gmail.com	0016213585404		1991-08-01	2012-11-07		1	73	2
74	Jay	Jackson	JayJackson@gmail.com	0010738633824		1981-04-19	2012-02-09		1	74	2
75	Robert	Hudson	RobertHudson@gmail.com	0010215854168		1970-06-27	2013-11-28		4	75	3
76	Jeanette	Grubb	JeanetteGrubb@gmail.com	0018745161622		1997-03-31	2012-05-01		1	76	3
77	Joshua	Miller	JoshuaMiller@gmail.com	0015308365432		1980-12-19	2011-02-23		3	77	3
78	Frankie	King	FrankieKing@gmail.com	0012521666381		1966-06-07	2012-03-21		3	78	3
79	Larry	Downer	LarryDowner@gmail.com	0015457455268		1995-08-30	2011-02-23		2	79	2
80	Bruce	Hereford	BruceHereford@gmail.com	0016713116117		1978-09-10	2013-11-24		4	80	1
81	Sandra	Welch	SandraWelch@gmail.com	0011568480336		1974-10-25	2014-08-27		1	81	1
82	Lisa	Foster	LisaFoster@gmail.com	0011627232356		1966-09-02	2010-10-19		4	82	3
83	Allison	Bailey	AllisonBailey@gmail.com	0010223268566		1972-05-14	2012-05-24		1	83	2
84	Todd	Mccloud	ToddMccloud@gmail.com	0015413800376		1976-12-28	2012-12-12		3	84	2
85	Lon	Payne	LonPayne@gmail.com	0011887442257		1985-05-08	2014-11-10		3	85	1
86	Stefani	Guymon	StefaniGuymon@gmail.com	0011301637375		1991-10-28	2010-12-23		1	86	1
87	Roy	Stuckert	RoyStuckert@gmail.com	0018874717174		1979-11-05	2014-03-08		2	87	2
88	Danielle	Chung	DanielleChung@gmail.com	0014778523878		1994-01-29	2011-05-23		1	88	2
89	Ellis	Rasmussen	EllisRasmussen@gmail.com	0015826723757		1989-12-08	2010-01-14		4	89	1
90	Stuart	Mcpherson	StuartMcpherson@gmail.com	0010002541274		1982-06-08	2012-11-18		3	90	3
91	James	Jung	JamesJung@gmail.com	0011124207465		1973-06-02	2010-01-27		1	91	3
92	Rae	Dunn	RaeDunn@gmail.com	0017430470871		1967-12-11	2012-06-02		4	92	1
93	Fred	Oneill	FredOneill@gmail.com	0012104026305		1978-04-20	2010-01-15		1	93	1
94	Donita	Lewis	DonitaLewis@gmail.com	0012158888451		1978-01-28	2013-12-08		4	94	3
95	Barbara	White	BarbaraWhite@gmail.com	0013064218212		1992-05-22	2014-10-21		4	95	2
96	Michael	Otto	MichaelOtto@gmail.com	0014336603100		1999-07-09	2013-08-19		4	96	3
97	Dustin	Piotrowski	DustinPiotrowski@gmail.com	0018558516312		1986-01-20	2010-03-01		1	97	1
98	Aaron	Valencia	AaronValencia@gmail.com	0015436067315		1979-06-05	2011-12-13		4	98	2
99	Ashley	Townsend	AshleyTownsend@gmail.com	0010813423711		1969-12-10	2014-08-14		2	99	2
100	Regina	Whisnant	ReginaWhisnant@gmail.com	0013002644014		1965-04-19	2014-05-29		1	100	3
101	Joanna	Smalls	JoannaSmalls@gmail.com	0015731057250		1974-04-18	2010-02-10		4	101	2
102	Jessie	Anderson	JessieAnderson@gmail.com	0012516244584		1981-05-06	2014-02-09		2	102	2
103	Joe	Beitz	JoeBeitz@gmail.com	0010200640186		1970-12-10	2012-10-12		2	103	3
104	Walter	Johnson	WalterJohnson@gmail.com	0016308736507		1972-03-24	2014-05-01		3	104	3
105	Edward	Stribling	EdwardStribling@gmail.com	0010272257482		1975-07-22	2012-12-01		2	105	2
106	William	Banks	WilliamBanks@gmail.com	0011848658132		1997-10-08	2010-06-16		2	106	1
107	Robert	Morris	RobertMorris@gmail.com	0016140756450		1987-07-31	2013-05-22		4	107	1
108	Paul	Cosentino	PaulCosentino@gmail.com	0018088774515		1987-03-30	2012-04-16		1	108	1
109	Robert	Zastrow	RobertZastrow@gmail.com	0018140265766		1977-04-15	2013-04-27		3	109	2
110	Shanell	Rosenow	ShanellRosenow@gmail.com	0015847542272		1960-10-27	2014-03-08		1	110	3
111	Robert	Gross	RobertGross@gmail.com	0013751825476		1996-06-14	2011-01-21		2	111	1
112	John	Bachman	JohnBachman@gmail.com	0012544163165		1992-01-28	2010-01-07		4	112	1
113	Mary	Roughton	MaryRoughton@gmail.com	0013364136785		1980-06-06	2012-05-14		3	113	1
114	Richard	Orlikowski	RichardOrlikowski@gmail.com	0018585540450		1986-09-21	2012-12-31		2	114	2
115	Eugene	Kochan	EugeneKochan@gmail.com	0018760604723		1972-04-30	2013-01-30		1	115	3
116	Jamie	Tanner	JamieTanner@gmail.com	0016571417532		1984-05-16	2010-02-02		3	116	3
117	Donna	Schmitz	DonnaSchmitz@gmail.com	0015037062644		1960-12-07	2012-03-03		2	117	3
118	Rick	Wright	RickWright@gmail.com	0013225221280		1963-09-14	2012-12-11		4	118	3
119	Cora	Benoit	CoraBenoit@gmail.com	0014182108432		1973-04-14	2014-09-26		1	119	2
120	Steven	Busby	StevenBusby@gmail.com	0010168311730		1961-05-06	2012-08-07		1	120	1
121	Leonard	Brown	LeonardBrown@gmail.com	0016863737736		1991-07-24	2010-07-21		2	121	3
122	Karen	Haworth	KarenHaworth@gmail.com	0012044700380		1993-06-11	2011-11-21		4	122	2
123	Tammy	Eure	TammyEure@gmail.com	0015054403271		1989-10-19	2012-06-12		1	123	1
124	Wilbur	Hutchinson	WilburHutchinson@gmail.com	0015768422250		1968-12-09	2012-04-14		1	124	1
125	Diana	Cathcart	DianaCathcart@gmail.com	0018363026630		1972-09-24	2010-07-16		1	125	3
126	Doris	Lewis	DorisLewis@gmail.com	0018345165624		1996-09-23	2011-09-14		4	126	2
127	Shaina	Campbell	ShainaCampbell@gmail.com	0016426447583		1991-08-01	2013-06-14		4	127	3
128	Clark	Miller	ClarkMiller@gmail.com	0012350570751		1990-04-24	2012-12-18		3	128	3
129	Amy	Gonzalez	AmyGonzalez@gmail.com	0011421584316		1962-09-10	2013-04-28		2	129	2
130	Jed	Cox	JedCox@gmail.com	0018674343358		1970-02-17	2014-12-02		4	130	2
131	Bonnie	Smith	BonnieSmith@gmail.com	0018440122227		1979-11-09	2013-03-23		2	131	1
132	Amanda	Johnson	AmandaJohnson@gmail.com	0013004517230		1978-07-28	2010-10-20		2	132	3
133	Herman	Bridgmon	HermanBridgmon@gmail.com	0012453808350		1972-07-04	2013-01-25		4	133	1
134	Jeffrey	Stafford	JeffreyStafford@gmail.com	0014457862302		1999-10-05	2010-12-08		1	134	3
135	Raymond	Bailey	RaymondBailey@gmail.com	0018775557112		1977-01-19	2014-08-25		1	135	1
136	James	Lisby	JamesLisby@gmail.com	0014281278747		1960-04-08	2010-11-03		4	136	1
137	Roger	Ortiz	RogerOrtiz@gmail.com	0018060076831		1961-02-23	2011-07-14		4	137	3
138	Elsie	Johnson	ElsieJohnson@gmail.com	0010248447801		1980-11-14	2011-11-07		2	138	2
139	Joseph	Ormiston	JosephOrmiston@gmail.com	0013470018516		1995-12-08	2013-08-03		3	139	3
140	Gregory	Moon	GregoryMoon@gmail.com	0011043285277		1968-07-26	2010-10-22		4	140	3
141	Kyle	Myers	KyleMyers@gmail.com	0016128480000		1975-01-05	2013-12-04		4	141	1
142	Nancy	Reynolds	NancyReynolds@gmail.com	0018174355534		1965-12-03	2013-12-04		1	142	3
143	David	Moran	DavidMoran@gmail.com	0018457850275		1998-06-26	2011-03-06		2	143	2
144	Jessica	Guevara	JessicaGuevara@gmail.com	0012232633016		1964-04-21	2011-05-05		1	144	3
145	Carolyn	Bounds	CarolynBounds@gmail.com	0015852385381		1974-11-07	2010-03-20		4	145	1
146	Tony	Lien	TonyLien@gmail.com	0015837028445		1981-08-04	2010-09-04		2	146	3
147	John	Aten	JohnAten@gmail.com	0014458118000		1992-05-13	2012-11-17		3	147	3
148	Barbara	Embree	BarbaraEmbree@gmail.com	0017385872483		1966-05-12	2014-05-19		2	148	1
149	Teresa	Goff	TeresaGoff@gmail.com	0016063642032		1983-10-25	2012-02-03		2	149	2
150	Beverly	Reed	BeverlyReed@gmail.com	0013508336647		1995-04-01	2012-09-11		2	150	1
151	Nancy	Matlock	NancyMatlock@gmail.com	0013620301228		1979-12-30	2013-05-15		3	151	1
